1|0|0.000000|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
2|1|0.001166|44|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
3|0|0.009458|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
4|0|0.009794|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
5|1|0.010603|44|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
6|0|0.080382|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
7|1|0.081537|44|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
8|0|0.104804|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
9|1|0.105991|52|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
10|0|0.131954|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
11|1|0.133183|52|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
12|0|0.174233|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
13|1|0.175468|52|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
14|0|0.176229|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
15|1|0.177374|52|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
16|0|0.465842|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
17|1|0.467039|52|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
18|0|0.468514|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
19|1|0.468558|52|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
20|0|0.574567|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
21|1|0.574765|44|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
22|0|0.593464|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
23|1|0.593533|44|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
24|0|0.633551|1380|4|6|185.4.1.150|192.168.43.153|443|54032|filetransfer
25|1|0.633585|44|4|6|192.168.43.153|185.4.1.150|54032|443|filetransfer
